Student_name,Student_letter_grade,Student_final_grade,final_exam_score,midterm_grade,midterm_letter_grade,midterm_exam_score,weely_hours_spent_studying _class,weekly_hours_spent_studying_general,weekly_hw_hours_general,weekly_hours_on_hw_class,effort_in_class,effort_outof_class,Study_group,Weekly_time_with_SG,low_sleep,high_sleep,exercise,taken_class_before,feelings_towards_teacher,student_height,student_weight,student_eyecolor,student_average_hw_grade,student_ID,student_credit_hours,student_nickname,student_nickname_ID,student_gpa,student_gpa_before,student_gpa_after,student_seated_row,student_seated_side,A
Teri Barnes,D+,66.72,98.10,63,D,30.46,0,6,19,3,High,Low,Y,6,3,10,N,N,,very tall,283.18,green,83,DLXYDE,15,Luna,LunaDLXYDE,3.87,3.87,3.69,12,Left,
Sammy-Jo Britton,F,48.74,53.75,31,F,80.07,4,19,8,3,High,Medium,Y,24,6,9,Y,N,,about average height,150.14,green,1,K1N8J5,24,Renesmae,RenesmaeK1N8J5,1.44,1.44,0.05,14,Right,
Benn Rich,D,62.97,46.82,69,D+,93.14,5,1,11,5,Medium,High,Y,8,1,11,Y,Y,,tall,217.58,brown,42,O270MI,23,Tyreke,TyrekeO270MI,0.75,0.75,0.26,14,Right,
Keiren Garrett,F,26.10,76.09,29,F,40.40,12,11,11,19,Medium,Low,N,10,3,7,Y,N,,tallish,117.24,green,31,JILB6B,22,Zephaniah,ZephaniahJILB6B,0.88,0.88,1.97,4,Right,
Fahima Hendrix,B,83.39,79.62,96,A,73.30,4,16,1,7,Medium,Low,N,20,1,9,Y,N,,below average height,260.01,brown,74,WE4GIK,14,Faraz,FarazWE4GIK,2.20,2.20,2.41,11,Right,
Monet Mathews,F,31.83,52.63,13,F,62.62,2,12,16,15,Medium,Low,N,14,3,11,Y,Y,,medium height,39.53,brown,10,EWG1QN,2,Wilson,WilsonEWG1QN,1.13,1.13,1.63,5,Mid,
Darcie-Mae Gunn,F,17.86,60.15,80,C+,71.64,17,9,3,20,Medium,Low,N,17,3,8,N,N,,medium height,105.53,brown,79,FTNGQX,9,Phoenix,PhoenixFTNGQX,1.67,1.67,3.69,1,Right,
Aydin Lu,B,83.19,22.10,32,F,38.66,8,19,18,15,Low,Low,Y,8,4,11,N,N,,about average height,42.88,brown,39,LLC2L1,7,Odin,OdinLLC2L1,2.77,2.77,1.63,4,Left,
Hareem Ware,F,26.64,67.11,57,F,62.44,0,1,6,15,Low,Low,Y,13,1,10,N,N,,below average height,141.89,blue,27,9J7J9C,22,Tamar,Tamar9J7J9C,3.09,3.09,0.87,5,Right,
Bartlomiej Knapp,B,83.70,69.27,15,F,89.37,17,2,16,20,Low,Medium,N,19,3,9,Y,N,,about average height,179.91,blue,22,ULKFSQ,24,Markus,MarkusULKFSQ,0.53,0.53,0.46,2,Mid,
Harun Adam,F,35.78,9.94,80,C+,24.57,17,1,10,17,High,Medium,Y,22,6,8,N,N,,below average height,299.71,brown,33,6L263B,22,Rhona,Rhona6L263B,1.40,1.40,3.22,5,Right,
Ishika Vega,D+,67.75,34.86,80,C+,90.22,12,2,4,7,High,Low,N,30,5,7,N,Y,,below average height,171.59,green,42,EO34AH,13,Eben,EbenEO34AH,3.36,3.36,0.00,13,Left,
Saanvi Hastings,F,52.10,24.66,40,F,68.36,19,13,15,4,High,High,Y,5,5,11,N,Y,,above average height,125.48,green,13,DY9M0D,22,Jaidon,JaidonDY9M0D,0.85,0.85,3.12,4,Left,
Niam Lim,C,73.96,25.19,53,F,64.19,8,13,8,9,Medium,Low,N,9,2,7,Y,Y,,medium height,91.68,brown,70,92OUUT,3,Farhaan,Farhaan92OUUT,1.72,1.72,2.19,11,Mid,
Keir Casey,F,56.45,4.23,63,D,76.24,7,1,14,20,Low,High,N,3,3,7,Y,Y,,medium height,206.01,brown,14,XMHM7G,11,Virginia,VirginiaXMHM7G,3.42,3.42,3.36,8,Right,
Bethaney Crawford,F,2.13,59.91,34,F,11.90,10,0,19,20,Medium,Medium,Y,9,3,10,Y,N,,medium height,60.26,brown,95,GRTVQ7,13,Dolly,DollyGRTVQ7,1.52,1.52,0.09,12,Right,
Vihaan Hopkins,F,14.10,85.75,12,F,41.50,13,19,0,6,Low,Low,N,14,5,11,Y,N,,very tall,128.26,blue,61,HC1PQ5,15,Millicent,MillicentHC1PQ5,0.40,0.40,2.38,10,Right,
Ruby-Mae Greenaway,D,66.49,80.26,29,F,89.06,4,4,13,16,Low,Low,Y,35,6,8,N,Y,,short,55.77,green,31,OS18NW,14,Payton,PaytonOS18NW,2.30,2.30,2.93,16,Right,
Omar Gentry,F,14.99,21.40,10,F,20.55,7,16,3,9,Medium,Low,Y,31,3,8,Y,Y,,medium height,170.51,brown,26,NEXCBV,3,Delilah,DelilahNEXCBV,0.79,0.79,1.74,12,Left,
Carmen Whelan,A,99.99,30.99,5,F,77.67,20,3,9,5,Medium,Low,Y,34,5,11,N,Y,,about average height,242.21,green,55,IUKN5N,17,Lilly-Mai,Lilly-MaiIUKN5N,0.84,0.84,1.47,4,Right,
Eileen Ramos,F,15.33,73.21,64,D,6.17,15,7,0,16,High,High,Y,30,2,11,Y,Y,,above average height,159.65,green,77,VR31HW,7,Keenan,KeenanVR31HW,0.74,0.74,2.55,6,Left,
Jazmine Navarro,F,47.39,98.05,86,B,49.86,6,20,20,1,High,High,Y,32,3,7,N,N,,about average height,126.21,brown,66,D85DPZ,14,Tyler-Jay,Tyler-JayD85DPZ,2.01,2.01,0.10,7,Left,
Fox Bryant,F,18.96,28.51,31,F,5.50,4,18,1,16,Low,High,N,2,6,10,Y,Y,,above average height,221.36,green,11,E6CSP9,7,Malachi,MalachiE6CSP9,2.83,2.83,2.96,7,Right,
Margaux Goldsmith,F,19.52,53.69,72,C-,68.36,13,3,12,4,High,Low,Y,36,1,11,Y,N,,about average height,61.03,blue,29,BXBFKD,1,Lennox,LennoxBXBFKD,3.76,3.76,3.26,2,Right,
Jeremiah Moon,B+,88.68,30.64,94,A,66.44,8,6,18,3,High,High,Y,14,2,10,N,Y,,tall,175.36,brown,80,Z5648O,18,Annalise,AnnaliseZ5648O,0.36,0.36,3.68,2,Left,
Hira Rowland,D+,68.02,11.36,44,F,50.70,10,11,4,15,High,Low,Y,39,3,7,Y,N,,above average height,204.71,green,18,TYJSR2,20,Fletcher,FletcherTYJSR2,1.63,1.63,3.54,14,Mid,
Adelle Kim,F,22.96,63.01,33,F,74.50,16,3,9,20,High,Medium,N,13,5,7,N,Y,,above average height,293.56,blue,23,571ITO,11,Khadijah,Khadijah571ITO,0.95,0.95,0.71,2,Mid,
Arissa Calhoun,B+,87.58,88.46,73,C,3.77,17,4,5,14,Low,Medium,Y,2,3,11,Y,Y,,about average height,73.85,green,49,D02G03,20,Renesmee,RenesmeeD02G03,3.55,3.55,0.62,5,Mid,
Aron Morrison,D+,67.93,77.23,55,F,68.32,14,14,13,15,High,Medium,Y,35,3,7,Y,Y,,about average height,197.34,brown,66,DAY8PP,21,Hilary,HilaryDAY8PP,0.96,0.96,2.66,2,Right,
Tyler-Jay Mcleod,F,48.97,64.60,17,F,79.10,17,16,14,14,High,High,Y,22,3,9,N,Y,,above average height,110.93,green,77,8EN6K5,23,Brittany,Brittany8EN6K5,0.59,0.59,3.77,16,Mid,
Casey Lacey,F,49.52,45.18,73,C-,10.45,19,10,10,4,High,High,Y,37,5,11,Y,Y,,below average height,108.69,blue,6,MYGZ62,13,Talha,TalhaMYGZ62,2.24,2.24,2.18,4,Mid,
Farzana Bostock,C,74.64,47.56,15,F,47.86,6,11,4,0,Low,Medium,N,35,6,11,N,Y,,below average height,15.58,blue,43,F3J8FJ,10,Isla-Mae,Isla-MaeF3J8FJ,3.33,3.33,0.26,6,Left,
Pixie Madden,C,76.33,58.51,37,F,35.82,1,20,16,5,Medium,Low,Y,7,1,8,N,Y,,above average height,266.51,green,61,HP0BGH,10,Haniya,HaniyaHP0BGH,1.53,1.53,2.46,3,Left,
Dominika Cross,F,41.82,97.34,86,B,47.26,0,12,6,10,Low,High,N,7,6,7,Y,N,,very tall,2.19,blue,30,N40LM8,15,Ariana,ArianaN40LM8,3.89,3.89,3.78,8,Left,
Hammad Cameron,F,54.87,57.10,66,D,99.28,12,0,9,1,Low,Low,N,36,6,9,Y,Y,,above average height,215.15,blue,49,DQWOA7,8,Lowri,LowriDQWOA7,3.31,3.31,3.39,3,Right,
Daniyal Nixon,C+,77.62,79.00,43,F,49.63,18,5,14,7,Low,Medium,Y,5,3,11,N,N,,medium height,51.36,blue,10,76AZ49,1,Ishmael,Ishmael76AZ49,2.88,2.88,2.34,2,Right,
Finnlay Hess,D,66.17,55.39,57,F,61.39,19,11,18,6,Medium,Low,Y,12,4,9,Y,N,,medium height,108.87,brown,81,L33E79,22,Brian,BrianL33E79,1.57,1.57,3.12,16,Right,
Adele Mendez,F,56.80,51.19,49,F,10.96,11,11,8,9,Medium,Low,N,26,3,7,Y,N,,short,216.40,blue,26,3K4QOC,18,Abdurahman,Abdurahman3K4QOC,1.65,1.65,3.91,14,Right,
Saqlain Butt,F,50.92,85.70,61,D-,62.90,9,10,19,10,Low,Low,N,5,5,7,N,Y,,medium height,94.24,green,47,4IB5EM,5,Ozan,Ozan4IB5EM,0.89,0.89,2.74,7,Right,
Bonnie Magana,F,55.97,50.31,65,D,40.28,10,19,1,8,High,Low,Y,29,3,10,Y,Y,,very tall,152.83,brown,62,A911JP,11,Ruby-Mae,Ruby-MaeA911JP,3.82,3.82,3.77,14,Mid,
Henna Pitt,F,21.84,9.96,39,F,75.78,17,0,0,13,Medium,Low,N,1,3,7,Y,N,,medium height,192.57,green,63,YIVHXA,18,Willow,WillowYIVHXA,0.74,0.74,1.38,7,Right,
Shane Morley,A,96.82,18.21,77,C,30.27,4,7,20,2,Medium,Low,N,22,3,11,N,Y,,above average height,237.29,brown,67,IA84HF,4,Digby,DigbyIA84HF,2.79,2.79,0.32,7,Left,
Jo Hail,C,76.41,2.11,20,F,45.77,13,2,10,16,High,Low,Y,24,2,11,Y,N,,about average height,116.08,blue,6,UJRVS0,21,Grady,GradyUJRVS0,3.28,3.28,0.64,12,Left,
Gus Christie,F,31.30,87.54,98,A,8.65,16,6,11,2,High,High,N,13,5,8,Y,N,,short,203.35,brown,8,CCRSZF,16,Rizwan,RizwanCCRSZF,0.27,0.27,3.02,16,Mid,
Maria Fraser,F,32.63,4.66,70,C-,2.64,18,3,18,7,Medium,Low,Y,21,6,11,Y,Y,,short,269.97,green,94,2MXKO2,7,Colleen,Colleen2MXKO2,0.15,0.15,1.47,14,Mid,
Aled Hope,D-,60.81,55.13,98,A,52.68,2,12,12,16,High,High,Y,38,5,7,N,N,,medium height,28.37,blue,91,70MIJI,6,Teegan,Teegan70MIJI,2.68,2.68,1.35,15,Mid,
Ollie Drew,F,18.41,9.13,31,F,23.74,9,19,2,12,High,Low,Y,7,4,8,N,Y,,medium height,158.23,green,78,LB6BWE,2,Roshan,RoshanLB6BWE,2.75,2.75,3.32,8,Mid,
Benito Buckner,F,51.32,4.11,44,F,97.27,2,20,16,5,High,Medium,N,20,5,7,Y,Y,,very tall,84.12,green,27,4GIKEW,14,Hamzah,Hamzah4GIKEW,3.73,3.73,2.55,11,Mid,
Alaya Easton,F,19.83,47.75,67,D,59.31,10,13,13,12,High,Low,N,13,4,8,N,Y,,below average height,197.37,green,89,G1QNFT,22,Donovan,DonovanG1QNFT,2.56,2.56,3.16,9,Left,
Eshan Vincent,C-,71.53,64.57,22,F,2.26,15,8,16,1,Medium,High,N,21,6,8,Y,Y,,about average height,100.72,brown,14,NGQXLL,10,Aadam,AadamNGQXLL,1.13,1.13,2.57,14,Left,
Shanna Dodd,A,93.93,18.54,22,F,20.92,13,8,15,15,Medium,Medium,N,4,1,10,N,Y,,very short,85.69,blue,33,C2L19J,23,Tarun,TarunC2L19J,0.54,0.54,2.51,13,Left,
Sumayyah Mckeown,C-,71.37,73.06,85,B,96.58,19,16,12,7,Medium,Low,N,7,4,7,Y,Y,,medium height,169.81,brown,52,7J9CUL,12,Soraya,Soraya7J9CUL,2.55,2.55,0.90,13,Mid,
Cleo Mcdaniel,F,23.48,46.25,85,B,38.67,16,15,12,3,High,Low,Y,25,3,7,Y,N,,below average height,104.77,green,77,KFSQ6L,20,Vivienne,VivienneKFSQ6L,0.78,0.78,3.62,16,Right,
Keane Mcbride,A,92.84,30.54,32,F,6.90,5,3,8,19,Medium,High,N,10,2,9,N,N,,medium height,83.48,blue,25,263BEO,5,Oliwia,Oliwia263BEO,0.62,0.62,2.14,8,Right,
Eamon Mcknight,F,58.70,43.16,69,D+,42.09,6,4,7,7,Medium,High,Y,33,2,11,Y,N,,very short,225.40,brown,64,34AHDY,3,Aria,Aria34AHDY,3.72,3.72,3.24,8,Mid,
Chay Mcmillan,F,1.37,22.58,61,D-,51.18,7,20,20,16,Low,High,Y,38,4,11,Y,Y,,tall,255.74,blue,94,9M0D92,20,Steven,Steven9M0D92,3.97,3.97,0.46,1,Left,
Shamima Frederick,B,83.42,3.79,11,F,68.18,17,9,16,9,Low,Low,Y,24,5,11,Y,Y,,medium height,275.51,blue,15,OUUTXM,6,Aneesha,AneeshaOUUTXM,3.17,3.17,1.39,9,Right,
Mariyah Taylor,C,73.98,12.62,60,F,76.99,6,1,7,7,Low,Medium,Y,7,6,11,Y,Y,,short,154.11,brown,31,HM7GGR,10,Darrell,DarrellHM7GGR,3.86,3.86,3.13,5,Left,
Shauna Gaines,C-,69.86,39.21,55,F,92.02,20,15,15,14,Medium,Low,N,19,4,7,N,N,,short,47.83,blue,26,TVQ7HC,10,Owen,OwenTVQ7HC,1.25,1.25,3.43,13,Right,
Betty Kirkpatrick,C,74.89,57.62,40,F,76.21,11,16,1,11,Low,Medium,Y,7,5,10,Y,Y,,below average height,62.22,blue,94,1PQ5OS,8,Caitlin,Caitlin1PQ5OS,0.60,0.60,2.43,9,Mid,
Kay Anthony,C+,78.58,30.90,41,F,49.09,16,4,9,17,Low,High,N,4,6,9,Y,Y,,very short,296.31,blue,73,18NWNE,8,Brooke,Brooke18NWNE,1.27,1.27,3.25,7,Right,
Matteo Armitage,D-,61.53,95.48,29,F,84.89,16,18,12,8,Medium,Low,Y,19,2,10,Y,N,,tall,72.56,green,74,XCBVIU,12,Floyd,FloydXCBVIU,2.30,2.30,4.00,9,Right,
Jazmine Duarte,D+,66.77,30.78,70,C-,24.80,11,13,11,5,Medium,Low,Y,20,4,10,Y,N,,short,265.64,blue,27,KN5NVR,18,Hakim,HakimKN5NVR,3.94,3.94,3.42,5,Left,
Archer Peters,B,82.62,51.83,58,F,14.88,4,4,12,0,Low,Low,N,7,3,11,Y,Y,,tallish,231.71,blue,82,31HWD8,6,Toby,Toby31HWD8,0.90,0.90,0.30,12,Right,
Melanie Wiley,D,63.62,1.81,6,F,57.32,12,20,3,3,High,Low,Y,26,6,9,Y,Y,,very tall,275.74,brown,26,5DPZE6,2,Sioned,Sioned5DPZE6,3.91,3.91,0.99,12,Left,
Cherise Dupont,F,29.55,90.96,1,F,35.81,14,7,5,4,High,High,Y,16,3,10,Y,N,,about average height,18.02,green,66,CSP9BX,17,Mahima,MahimaCSP9BX,3.87,3.87,0.58,2,Right,
Hiba Mckenna,A,93.59,51.98,42,F,13.64,20,4,1,1,Medium,Low,Y,34,4,9,N,Y,,very short,225.99,green,36,BFKDZ5,15,Bethany,BethanyBFKDZ5,2.99,2.99,0.82,2,Mid,
Hallam Higgs,F,13.84,0.11,33,F,33.69,7,12,4,2,Medium,High,N,6,5,9,Y,N,,shortish,86.36,green,46,648OTY,1,Amit,Amit648OTY,0.60,0.60,2.30,7,Right,
Inez Bloggs,F,30.47,10.14,62,D-,27.18,19,10,0,10,Medium,Medium,Y,15,2,10,N,N,,very short,57.00,brown,69,JSR257,2,Eddie,EddieJSR257,3.16,3.16,1.99,10,Left,
Fannie Dunlop,B,82.96,99.93,88,B+,65.25,15,3,14,10,High,High,Y,25,2,11,Y,N,,below average height,28.70,brown,62,1ITOD0,20,Hester,Hester1ITOD0,0.39,0.39,2.21,2,Mid,
Yara Best,F,41.25,40.44,36,F,88.51,19,1,4,0,Medium,Medium,Y,36,3,9,N,Y,,about average height,284.94,brown,99,2G03DA,21,Poppy-Mae,Poppy-Mae2G03DA,2.64,2.64,2.80,9,Mid,
Eisa Spears,A,99.57,54.06,14,F,31.15,6,4,6,17,Low,Low,Y,19,6,7,Y,N,,medium height,9.58,brown,57,Y8PP8E,14,Phillipa,PhillipaY8PP8E,0.15,0.15,3.57,16,Mid,
Lyndon Needham,B+,87.65,77.67,9,F,76.42,9,3,10,20,High,High,Y,3,6,8,N,Y,,medium height,114.21,blue,50,N6K5MY,22,Eugene,EugeneN6K5MY,1.63,1.63,2.88,3,Mid,
Khalil Mcphee,F,53.09,23.31,37,F,28.39,9,6,8,7,Medium,High,N,14,1,11,Y,Y,,medium height,214.33,brown,16,GZ62F3,5,Akshay,AkshayGZ62F3,0.15,0.15,0.52,4,Left,
Zunairah Barker,F,38.52,73.05,93,A-,99.94,5,15,17,9,High,Low,Y,30,1,7,Y,N,,about average height,37.20,green,89,J8FJHP,20,Anand,AnandJ8FJHP,2.74,2.74,3.09,2,Mid,
Aleah Connelly,F,52.83,12.11,99,A,6.15,12,16,3,8,High,Medium,Y,2,1,8,N,N,,tall,274.48,brown,81,0BGHN4,10,Darlene,Darlene0BGHN4,1.63,1.63,3.56,3,Mid,
Kiana Everett,F,41.74,77.35,87,B,72.84,14,14,11,17,High,High,N,39,4,8,N,Y,,below average height,89.44,green,56,0LM8DQ,8,Trystan,Trystan0LM8DQ,3.96,3.96,2.83,5,Right,
Huey Dudley,B+,86.90,71.97,80,C+,51.87,17,8,19,7,Low,High,Y,31,5,8,N,Y,,tallish,162.69,brown,76,WOA776,17,Ruby-Mae,Ruby-MaeWOA776,0.95,0.95,3.40,13,Mid,
James Justice,A,97.29,25.87,25,F,93.05,12,4,3,6,High,Medium,Y,27,1,11,Y,N,,medium height,173.66,green,11,AZ49L3,13,Arnie,ArnieAZ49L3,1.48,1.48,3.43,11,Left,
Jodi Maxwell,F,6.12,16.12,45,F,50.83,19,20,12,11,Medium,High,N,18,1,11,Y,Y,,above average height,225.25,brown,39,3E793K,15,Clifford,Clifford3E793K,2.55,2.55,3.93,5,Left,
Lorena Waters,F,43.78,39.27,46,F,44.85,4,16,19,7,Low,Medium,N,35,3,7,N,Y,,about average height,82.96,brown,75,4QOC4I,15,Patrik,Patrik4QOC4I,1.34,1.34,0.65,2,Left,
Meghan Rangel,F,51.39,55.53,60,F,10.59,10,13,4,4,Low,High,Y,31,4,11,N,N,,short,25.42,blue,79,B5EMA9,9,Emmett,EmmettB5EMA9,2.15,2.15,2.34,16,Left,
Susie Macias,F,52.88,0.54,12,F,27.48,10,4,14,16,Medium,Low,N,8,1,10,Y,N,,short,23.83,blue,48,11JPYI,8,Ellesse,Ellesse11JPYI,1.22,1.22,2.39,6,Right,
Aneeka Owen,C,73.65,19.90,6,F,82.28,8,4,15,15,Low,High,Y,21,4,7,N,Y,,medium height,33.56,brown,36,VHXAIA,20,Kasper,KasperVHXAIA,3.36,3.36,0.95,14,Mid,
Sofija Washington,B+,87.87,4.99,98,A,55.60,19,2,2,1,Low,High,Y,5,6,11,N,Y,,very short,195.66,blue,23,84HFUJ,17,Jaydan,Jaydan84HFUJ,1.98,1.98,0.15,10,Left,
Zakk Fernandez,F,42.14,45.24,6,F,88.47,5,6,2,8,Medium,Medium,Y,39,3,10,Y,Y,,very short,233.02,green,49,RVS0CC,8,Micheal,MichealRVS0CC,0.49,0.49,1.32,3,Right,
Velma Edwards,D+,67.36,36.25,94,A,76.33,6,5,19,15,High,High,Y,14,2,7,N,Y,,above average height,232.33,green,98,RSZF2M,4,Caolan,CaolanRSZF2M,2.86,2.86,3.59,3,Left,
Angus Aldred,B,85.48,72.60,15,F,42.29,14,18,8,14,High,Low,N,30,5,9,N,Y,,shortish,10.75,blue,23,G37LQJ,2,Miller,MillerG37LQJ,0.64,0.64,0.61,1,Mid,
Macie Corbett,B+,88.80,28.74,73,C,58.41,19,10,7,2,High,Low,N,39,3,10,N,Y,,above average height,54.54,blue,84,52214U,1,Cohen,Cohen52214U,0.58,0.58,2.25,16,Right,
Albi Howell,A-,91.66,53.90,40,F,8.88,7,1,18,9,High,High,N,7,6,10,N,Y,,short,104.92,blue,34,PUFYNZ,1,Mercedes,MercedesPUFYNZ,1.63,1.63,0.41,16,Left,
Maisie Irwin,F,50.05,96.96,98,A,10.25,3,12,8,16,Low,Medium,Y,4,1,10,Y,Y,,tallish,183.89,blue,83,13XFZK,23,Deanne,Deanne13XFZK,3.19,3.19,1.22,12,Right,
Lennie Duncan,A,96.31,11.46,28,F,64.37,2,9,9,2,Low,Medium,N,33,6,9,Y,Y,,tall,258.40,brown,92,96YC6Z,19,Cassia,Cassia96YC6Z,2.73,2.73,1.91,11,Mid,
Corben Meza,A,99.74,41.89,62,D-,4.46,4,1,4,16,Low,Low,N,20,3,8,Y,N,,tall,223.64,blue,10,9G44VM,13,Fraser,Fraser9G44VM,0.29,0.29,1.58,8,Right,
Demi-Leigh Drew,B,84.06,43.44,82,B-,73.46,7,5,6,13,Medium,High,Y,7,5,10,Y,N,,tall,278.69,green,97,4KT2Q2,5,Irfan,Irfan4KT2Q2,3.01,3.01,2.12,11,Mid,
Seth Ramsay,F,18.97,20.11,7,F,43.97,13,16,1,5,Medium,Low,N,30,5,11,N,N,,shortish,68.69,green,32,SVD43Y,20,Dario,DarioSVD43Y,2.17,2.17,2.41,8,Right,
Mya Browne,A,96.32,7.03,30,F,7.47,13,16,10,0,Medium,Medium,Y,37,5,7,Y,Y,,short,13.95,brown,63,B9P4LP,24,Liyah,LiyahB9P4LP,1.91,1.91,2.23,8,Right,
Sanaa Mayer,F,39.01,53.98,99,A,54.95,15,0,7,7,Medium,High,Y,39,6,7,N,N,,shortish,288.09,brown,21,MUX7MN,3,Fredrick,FredrickMUX7MN,3.45,3.45,1.77,6,Left,
Xanthe Franklin,F,2.03,93.67,49,F,80.78,0,0,9,5,Medium,High,N,4,4,9,Y,N,,very short,295.30,brown,80,T0XHS5,21,Dolores,DoloresT0XHS5,2.76,2.76,0.08,14,Mid,
Codie Crouch,B,85.01,12.09,11,F,66.94,16,2,1,2,Low,Low,N,36,2,7,N,Y,,medium height,20.26,blue,62,JWSL7D,15,Kie,KieJWSL7D,1.54,1.54,0.26,11,Mid,
Martine Steele,F,9.31,88.67,34,F,31.76,20,2,16,18,High,Low,Y,11,1,10,N,Y,,about average height,223.55,green,92,DCG505,23,Tyrique,TyriqueDCG505,2.05,2.05,0.10,6,Mid,
Dru Hartman,F,54.01,81.05,57,F,93.50,18,5,2,12,Medium,High,N,24,2,11,N,Y,,tallish,64.60,brown,34,QZZADE,4,Conna,ConnaQZZADE,2.60,2.60,2.17,8,Left,
Said Watson,F,40.83,0.76,69,D+,64.09,1,3,2,0,Low,High,Y,20,1,8,Y,Y,,very tall,293.32,blue,91,9Q1VK8,15,Maysa,Maysa9Q1VK8,0.35,0.35,1.13,9,Left,
Bobbi Bender,F,44.95,50.08,5,F,20.16,3,15,20,14,Low,High,Y,12,2,10,N,Y,,above average height,5.23,brown,14,9O7BKR,17,Sammy-Jo,Sammy-Jo9O7BKR,0.89,0.89,3.30,11,Mid,
Felicity Potter,D-,62.47,31.64,10,F,78.57,19,17,3,12,High,High,N,17,5,9,Y,N,,very short,31.92,green,97,6F6XGV,18,Arian,Arian6F6XGV,0.90,0.90,3.17,8,Left,
Tierney Knowles,F,4.92,28.22,41,F,41.28,2,18,9,9,Medium,High,N,9,2,7,N,N,,above average height,189.41,brown,31,UE1D36,5,Ottilie,OttilieUE1D36,3.34,3.34,1.38,16,Right,
Sulaiman Holt,F,12.92,75.02,86,B,12.58,8,15,17,16,Low,Medium,Y,40,6,10,N,Y,,above average height,76.02,blue,2,O6EANL,3,Fred,FredO6EANL,0.54,0.54,1.19,10,Mid,
Josie Benitez,F,47.41,13.63,9,F,8.22,8,7,18,10,High,Medium,Y,15,6,11,N,Y,,tall,74.65,brown,13,0FWROW,7,Jon-Paul,Jon-Paul0FWROW,1.33,1.33,3.88,4,Right,
Atif Mcgregor,F,3.88,71.92,70,D+,40.99,10,1,4,9,Medium,Low,N,38,2,11,Y,N,,tall,158.77,blue,12,8IXPVC,21,Aaminah,Aaminah8IXPVC,0.55,0.55,1.50,11,Left,
Aizah Colon,A,,,91,A-,50.81,7,,,1,,High,N,24,,,,,,about average height,,,,,2,Jaidan,,0.80,,3.47,4,Mid,
Tahmina Krause,A,93.97,15.01,18,F,44.34,9,15,3,15,High,Medium,N,18,2,8,N,N,,short,245.72,blue,61,3WIOPO,24,Alisha,Alisha3WIOPO,3.40,3.40,2.99,9,Left,
Adela Finch,F,15.46,23.53,11,F,35.64,13,6,14,7,Medium,Medium,N,25,3,10,N,Y,,tallish,33.53,brown,9,R7CH2B,10,Julien,JulienR7CH2B,1.64,1.64,3.07,10,Mid,
Lorna Daly,F,16.32,61.32,62,D-,7.00,19,12,7,3,High,High,Y,40,1,7,N,Y,,above average height,165.14,green,8,ALOQK1,16,Kodi,KodiALOQK1,2.28,2.28,1.86,12,Left,
Ayaan Gallegos,C,73.26,52.72,60,D-,1.70,5,12,12,5,High,Low,N,2,1,7,N,Y,,tallish,298.67,blue,56,C7WJLZ,8,Elysia,ElysiaC7WJLZ,1.46,1.46,1.27,6,Right,
Henry Bowler,B-,82.43,13.23,67,D+,88.36,3,10,7,10,Medium,Medium,N,40,1,8,Y,Y,,below average height,17.82,green,19,JMWTHR,19,Farzana,FarzanaJMWTHR,1.57,1.57,1.63,15,Mid,
Bethanie Martin,F,26.39,30.43,30,F,21.38,19,12,2,15,Low,Medium,Y,9,4,10,N,Y,,shortish,141.87,brown,34,88RX6P,20,Salma,Salma88RX6P,2.98,2.98,3.55,10,Right,
Akeel Lennon,A-,92.23,18.51,38,F,42.64,9,10,15,16,Medium,Medium,N,28,3,9,Y,Y,,tall,243.26,brown,50,3O5IZI,15,Leanna,Leanna3O5IZI,3.01,3.01,2.61,8,Mid,
Cayson Curry,F,9.83,48.71,40,F,82.07,6,14,10,7,Low,Medium,Y,8,5,10,N,N,,above average height,162.19,blue,51,PLYM2R,17,Herbie,HerbiePLYM2R,2.32,2.32,1.18,11,Right,
Grace Blake,F,10.17,22.14,59,F,47.00,16,17,13,10,Medium,Low,Y,22,1,8,N,N,,short,189.20,brown,28,Y208JU,14,Rayhan,RayhanY208JU,0.18,0.18,0.23,5,Left,
Clodagh Power,F,28.79,36.72,22,F,33.06,11,10,2,5,Low,Medium,Y,35,6,10,N,N,,short,28.30,blue,66,Z07NJ4,16,Harvey-Lee,Harvey-LeeZ07NJ4,1.77,1.77,0.17,16,Left,
Michael Cottrell,A,97.03,79.74,95,A,94.31,0,19,15,19,Medium,High,Y,17,3,8,Y,Y,,medium height,198.64,green,94,5SW9F8,15,Ciara,Ciara5SW9F8,1.66,1.66,1.34,6,Mid,
Shanay Roach,A,93.61,98.52,71,C-,4.59,0,11,14,10,High,Low,N,4,1,11,N,N,,above average height,75.24,blue,66,TQRPTI,20,Gertrude,GertrudeTQRPTI,3.21,3.21,3.70,14,Mid,
Latisha Petersen,C,72.51,47.36,8,F,67.26,10,18,1,19,Medium,Medium,Y,5,1,11,N,Y,,tall,224.61,green,14,NS4MMX,14,Kya,KyaNS4MMX,3.21,3.21,0.41,3,Right,
Ashleigh Wells,F,26.76,91.91,26,F,64.11,0,11,0,8,High,Medium,Y,32,5,7,N,N,,above average height,30.75,brown,57,QSM3N9,14,Amirah,AmirahQSM3N9,0.69,0.69,1.62,12,Right,
